message,label,player,special_token_message,match,translated_message,sanitized_translated_message
LOOL WHY FOR YOPUR FEEED,,9,[Team1][Player4]: LOOL WHY FOR YOPUR FEEED,25,"""LOL WHY FOR YOUR FEED""",LOL WHY FOR YOUR FEED
i have 3 ez kill,,7,[Team1][Player2]: i have 3 ez kill,25,"""I have 3 easy kills""",I have 3 easy kills
OMG EZ KİLL BS,x,9,[Team1][Player4]: OMG EZ KİLL BS,25,"""Oh my god, easy kill Bloodseeker""","Oh my god, easy kill Bloodseeker"
Ez,x,7,[Team1][Player2]: Ez,25,Easy,Easy
hahahaha,,7,[Team1][Player2]: hahahaha,25,hahahaha,hahahaha
:?D,,1,[Team0][Player1]: :?D,25,""":?D""",:?D
wtf,,7,[Team1][Player2]: wtf,25,What the fuck,What the ****
where are u,,7,[Team1][Player2]: where are u,25,Where are you?,Where are you?
lel,,1,[Team0][Player1]: lel,25,lol,lol
noob,x,7,[Team1][Player2]: noob,25,noob,noob
TY FOR EZBS,x,9,[Team1][Player4]: TY FOR EZBS,25,"""Thank you for easy bullshit.""",Thank you for easy ********.
ahahhaha,,1,[Team0][Player1]: ahahhaha,25,hahaha,hahaha
просто хауса пикнуть,,0,[Team0][Player0]: просто хауса пикнуть,52,"""just pick Chaos""",just pick Chaos
и за  20 мин выйграть игру,,0,[Team0][Player0]: и за  20 мин выйграть игру,52,"""and win the game in 20 minutes""",and win the game in 20 minutes
он пикнул,,0,[Team0][Player0]: он пикнул,52,"""he picked""",he picked
спекрту,,0,[Team0][Player0]: спекрту,52,"""spectre""",spectre
просто хауса против эмбера,,7,[Team1][Player2]: просто хауса против эмбера,52,"""just pick Chaos Knight against Ember""",just pick Chaos Knight against Ember
ага,,7,[Team1][Player2]: ага,52,"""yeah""",yeah
спс за совет,,7,[Team1][Player2]: спс за совет,52,"""Thanks for the advice""",Thanks for the advice
он через дискорд,,0,[Team0][Player0]: он через дискорд,52,"""he's using Discord""",he's using Discord
),,0,[Team0][Player0]: ),52,""")""",""")"""
лан сори,,0,[Team0][Player0]: лан сори,52,"""Okay, sorry""","Okay, sorry"
с новым годом всех,,0,[Team0][Player0]: с новым годом всех,52,"""Happy New Year to everyone""",Happy New Year to everyone
да ну,,0,[Team0][Player0]: да ну,52,"""yeah right""",yeah right
SRTSLY,,6,[Team1][Player1]: SRTSLY,52,Серьезно,Серьезно
братан,,3,[Team0][Player3]: братан,52,"""bro""",bro
сумия пизже играет,,3,[Team0][Player3]: сумия пизже играет,52,"""Sumia plays better""",Sumia plays better
ya znay,,6,[Team1][Player1]: ya znay,52,I know,I know
2 mani ne hvatilo),,6,[Team1][Player1]: 2 mani ne hvatilo),52,"""2 mana was not enough)""",2 mana was not enough)
ofc,,6,[Team1][Player1]: ofc,52,of course,of course
GG,,5,[Team1][Player0]: GG,52,GG,GG
a che ne 5?,,6,[Team1][Player1]: a che ne 5?,52,"""Why not 5?""",Why not 5?
в 5,,0,[Team0][Player0]: в 5,52,"""in 5""",in 5
и так,,0,[Team0][Player0]: и так,52,"""and so""",and so
все,,0,[Team0][Player0]: все,52,"""all""",all
a vot,,6,[Team1][Player1]: a vot,52,"""and here""",and here
5,,6,[Team1][Player1]: 5,52,5,5
togda vse nnorm,,6,[Team1][Player1]: togda vse nnorm,52,"""then everything is fine""",then everything is fine
end these retards,x,5,[Team1][Player0]: end these retards,52,end these retards,"""end these *******"""
блять спетра,,0,[Team0][Player0]: блять спетра,52,"""fuck spectre""",f*** spectre
1 словом,,0,[Team0][Player0]: 1 словом,52,"""1 word""","""1 word"""
божество блять,,0,[Team0][Player0]: божество блять,52,"""goddamn deity""",god**** deity
изи,,0,[Team0][Player0]: изи,52,easy,easy
;bd,,9,[Team1][Player4]: ;bd,52,;bd,""";bd"""
жив,,9,[Team1][Player4]: жив,52,"""alive""",alive
цел,,9,[Team1][Player4]: цел,52,"""alive""",alive
орел,,9,[Team1][Player4]: орел,52,"""Eagle""",Eagle
fuck you still,x,6,[Team1][Player1]: fuck you still,19,"""fuck you still""","""**** you still"""
?,,3,[Team0][Player3]: ?,19,?,?
.???,,3,[Team0][Player3]: .???,19,""".???""",.???
??,,6,[Team1][Player1]: ??,19,"""??""",??
??????,,3,[Team0][Player3]: ??????,19,"""??????""",??????
????????,,6,[Team1][Player1]: ????????,19,"""???????""",???????
???,,1,[Team0][Player1]: ???,19,"""What?""",What?
?,,3,[Team0][Player3]: ?,19,"""?""",?
my back up did not show,,9,[Team1][Player4]: my back up did not show,19,"""my back up did not show""",my back up did not show
we would have teared you a new asshole,,9,[Team1][Player4]: we would have teared you a new asshole,19,"""we would have torn you a new asshole""",we would have torn you a new ***hole
nice ward,,9,[Team1][Player4]: nice ward,19,nice ward,nice ward
nice gank,,3,[Team0][Player3]: nice gank,19,Nice gank.,Nice gank.
maphack,,0,[Team0][Player0]: maphack,19,maphack,maphack
thanks i guess,,1,[Team0][Player1]: thanks i guess,19,"Thanks, I guess.","Thanks, I guess."
?,,9,[Team1][Player4]: ?,19,?,?
????,,3,[Team0][Player3]: ????,19,????,????
?,,3,[Team0][Player3]: ?,19,?,?
why save him let me kill him fucker,x,6,[Team1][Player1]: why save him let me kill him fucker,19,"""Why save him? Let me kill him, fucker.""","""Why save him? Let me kill him, f****r."""
?,,3,[Team0][Player3]: ?,19,?,?
sorry for flaming,,6,[Team1][Player1]: sorry for flaming,19,"""sorry for flaming""",sorry for flaming
g,,0,[Team0][Player0]: g,19,g,g
thx,,0,[Team0][Player0]: thx,19,thx,thx
?,,2,[Team0][Player2]: ?,19,?,?
?,,6,[Team1][Player1]: ?,19,?,?
?,,3,[Team0][Player3]: ?,19,?,?
?????????????????????,,3,[Team0][Player3]: ?????????????????????,19,"""?????????????????????""",?????????????????????
gg wp,,5,[Team1][Player0]: gg wp,19,gg well played,gg well played
gg,,8,[Team1][Player3]: gg,19,gg,gg
ez,,2,[Team0][Player2]: ez,19,easy,easy
gg wp,,1,[Team0][Player1]: gg wp,19,gg wp,gg wp
zizi,,4,[Team0][Player4]: zizi,19,"""easy easy""",easy easy
?,,3,[Team0][Player3]: ?,19,?,?
nice quadrilane mid,,0,[Team0][Player0]: nice quadrilane mid,19,"""nice quadrilane mid""",nice quadrilane mid
GG wp gl next,,6,[Team1][Player1]: GG wp gl next,19,"""Good game, well played, good luck next.""","Good game, well played, good luck next."
lol,,8,[Team1][Player3]: lol,19,lol,lol
?,,6,[Team1][Player1]: ?,19,?,?
assholes,x,0,[Team0][Player0]: assholes,19,assholes,a******s
???????????,,3,[Team0][Player3]: ???????????,19,???????????,???????????
sf wanna be,,7,[Team1][Player2]: sf wanna be,24,"""sf wannabe""",sf wannabe
^^,,7,[Team1][Player2]: ^^,24,^^,^^
huh ?,,4,[Team0][Player4]: huh ?,24,"""huh?""",huh?
what ur proble m,,4,[Team0][Player4]: what ur proble m,24,"""what's your problem""",what's your problem
nvm,,7,[Team1][Player2]: nvm,24,never mind,never mind
..,,7,[Team1][Player2]: ..,24,"""..""
","""..
"""
..,,7,[Team1][Player2]: ..,24,..,..
why always ez,,7,[Team1][Player2]: why always ez,24,"""why always easy""",why always easy
hahahahaha,,7,[Team1][Player2]: hahahahaha,24,hahahahaha,hahahahaha
QT MO GAGO,,7,[Team1][Player2]: QT MO GAGO,24,"""You're so stupid""",You're so s*****
?,,1,[Team0][Player1]: ?,24,"""?""",?
??,,7,[Team1][Player2]: ??,24,"""??""",??
fucking pick 2 offlane,,3,[Team0][Player3]: fucking pick 2 offlane,24,"""fucking pick 2 offlane""",f***ing pick 2 offlane
NOOB,,7,[Team1][Player2]: NOOB,24,NOOB,NOOB
SHIT,,7,[Team1][Player2]: SHIT,24,SHIT,****
will he coming ?,,4,[Team0][Player4]: will he coming ?,63,"""Will he be coming?""",Will he be coming?
swabe english ah,,8,[Team1][Player3]: swabe english ah,63,"""cool English, huh""","cool English, huh"
will he coming,,8,[Team1][Player3]: will he coming,63,will he coming,will he coming
afk,,5,[Team1][Player0]: afk,63,afk,afk
wait,,5,[Team1][Player0]: wait,63,wait,wait
he leave dude,,6,[Team1][Player1]: he leave dude,63,"He left, dude.","He left, dude."
oo,,5,[Team1][Player0]: oo,63,yes,yes
ung slark,,5,[Team1][Player0]: ung slark,63,"""stupid Slark""",st**** Slark
tang ina,,5,[Team1][Player0]: tang ina,63,"""motherfucker""",m**********
tanga e,,5,[Team1][Player0]: tanga e,63,"""stupid""",st****
slark,,5,[Team1][Player0]: slark,63,slark,slark
tanga,,5,[Team1][Player0]: tanga,63,"""idiot""",******
HAHAHA,,5,[Team1][Player0]: HAHAHA,63,HAHAHA,HAHAHA
meron tanga,x,5,[Team1][Player0]: meron tanga,63,"""there is an idiot""",there is an *****
ung tatay nya,x,5,[Team1][Player0]: ung tatay nya,63,"""his father""",his father
slark,,5,[Team1][Player0]: slark,63,"""idiot""",******
whre are u,,5,[Team1][Player0]: whre are u,63,"""where are you""",where are you
JHAHA,,5,[Team1][Player0]: JHAHA,63,JHAHA,JHAHA
gg,,3,[Team0][Player3]: gg,63,gg,gg
END,,3,[Team0][Player3]: END,63,END,END
slark,,5,[Team1][Player0]: slark,63,slark,slark
?,,5,[Team1][Player0]: ?,63,?,?
slark/,,5,[Team1][Player0]: slark/,63,slark/,slark/
lol,,0,[Team0][Player0]: lol,63,lol,lol
bobo,,9,[Team1][Player4]: bobo,63,idiot,******
HERALD ANDERSON ANG GALAWAN,,9,[Team1][Player4]: HERALD ANDERSON ANG GALAWAN,63,"""Herald Anderson the moves""",Herald Anderson the moves
teka yung tropa ko,,8,[Team1][Player3]: teka yung tropa ko,63,"""wait, my friend""","wait, my friend"
}diba,,5,[Team1][Player0]: }diba,63,}right,}right
seriously?,,3,[Team0][Player3]: seriously?,63,seriously?,seriously?
slark,,5,[Team1][Player0]: slark,63,slark,slark
Slark,,5,[Team1][Player0]: Slark,63,Slark,Slark
taga san ka,,5,[Team1][Player0]: taga san ka,63,"""Where are you from?""",Where are you from?
HAHHA,,5,[Team1][Player0]: HAHHA,63,HAHA,HAHA
yayaya,,5,[Team1][Player0]: yayaya,63,"""yeah yeah yeah""",yeah yeah yeah
DI NYA MAHULI SLARK,,9,[Team1][Player4]: DI NYA MAHULI SLARK,63,"""SLARK CAN'T CATCH HIM""",SLARK CAN'T CATCH HIM
WAWA,,5,[Team1][Player0]: WAWA,63,Poor thing.,Poor thing.
sarap,,5,[Team1][Player0]: sarap,63,Delicious,Delicious
ez,,1,[Team0][Player1]: ez,63,easy,easy
LOL,,3,[Team0][Player3]: LOL,63,LOL,LOL
GG,,3,[Team0][Player3]: GG,63,GG,GG
HAHAHA,,5,[Team1][Player0]: HAHAHA,63,HAHAHA,HAHAHA
iyakin,,5,[Team1][Player0]: iyakin,63,"""Crybaby""",Crybaby
haha,,6,[Team1][Player1]: haha,63,haha,haha
LOL,,3,[Team0][Player3]: LOL,63,LOL,LOL
esasy,,6,[Team1][Player1]: esasy,63,crybaby,crybaby
ang tanga mo,x,5,[Team1][Player0]: ang tanga mo,63,"""you're so stupid""",you're so s*****
ANG TANGA NI HERALD ANDERSON,x,9,[Team1][Player4]: ANG TANGA NI HERALD ANDERSON,63,"""HERALD ANDERSON IS STUPID""",HERALD ANDERSON IS ST****
end,,6,[Team1][Player1]: end,63,end,end
slark,,5,[Team1][Player0]: slark,63,slark,slark
SLARK DAW,,9,[Team1][Player4]: SLARK DAW,63,"""SLARK THEY SAY""",SLARK THEY SAY
LC DUEL NAMAN DYAN,,9,[Team1][Player4]: LC DUEL NAMAN DYAN,63,"""LC, duel over there.""","LC, duel over there."
GG,,3,[Team0][Player3]: GG,63,GG,GG
gg,,8,[Team1][Player3]: gg,63,gg,gg
End,,3,[Team0][Player3]: End,63,End,End
goodgame,,6,[Team1][Player1]: goodgame,63,good game,good game
ран вася ран,,8,[Team1][Player3]: ран вася ран,65,"""Run Vasya run""",Run Vasya run
lol :DWQDwq,,3,[Team0][Player3]: lol :DWQDwq,65,lol :DWQDwq,lol :DWQDwq
do u see me,,3,[Team0][Player3]: do u see me,65,do you see me,do you see me
yes,,5,[Team1][Player0]: yes,65,yes,yes
Aq böyle oyunun ya :D,,3,[Team0][Player3]: Aq böyle oyunun ya :D,65,"""Ah, such a game :D""","Ah, such a game :D"
оранжевый,,8,[Team1][Player3]: оранжевый,65,"""orange""",orange
что ты за чудовище,,8,[Team1][Player3]: что ты за чудовище,65,"""What kind of monster are you""",What kind of monster are you
сф красава,,8,[Team1][Player3]: сф красава,65,"""sf well done""",sf well done
:D,,3,[Team0][Player3]: :D,65,:D,:D
Bi sal ya :D,,3,[Team0][Player3]: Bi sal ya :D,65,"""Just let it go :D""",Just let it go :D
sven reporetd,,3,[Team0][Player3]: sven reporetd,65,sven reported,sven reported
GG,,7,[Team1][Player2]: GG,65,GG,GG
sven reported pls,,3,[Team0][Player3]: sven reported pls,65,"""sven reported please""",sven reported please
ez,,8,[Team1][Player3]: ez,65,easy,easy
reported sven,,3,[Team0][Player3]: reported sven,65,"""reported sven""",reported sven
кто урсу забанил ?),,8,[Team1][Player3]: кто урсу забанил ?),30,"""Who banned Ursa? :)""",Who banned Ursa? :)
Я,,0,[Team0][Player0]: Я,30,"""I did.""",I did.
а нахуя ?),,8,[Team1][Player3]: а нахуя ?),30,"""why the fuck?)""",why the f**k?)
а не хочу его видеть в этой катке,,0,[Team0][Player0]: а не хочу его видеть в этой катке,30,"""I don't want to see him in this match.""",I don't want to see him in this match.
чтобы дауны не пикали и играли на нормальных героях,,9,[Team1][Player4]: чтобы дауны не пикали и играли на нормальных героях,30,"""so that idiots don't pick and play normal heroes""","""so that ***** don't pick and play normal heroes"""
ty,,9,[Team1][Player4]: ty,30,"""you""",you
на 1 удар а ты пальчиом ковыряешь,,8,[Team1][Player3]: на 1 удар а ты пальчиом ковыряешь,30,"""One hit away and you're picking your nose.""",One hit away and you're picking your nose.
250 хп на 1 удар ?,,2,[Team0][Player2]: 250 хп на 1 удар ?,30,"""250 HP in one hit?""",250 HP in one hit?
хуйню не неси,,2,[Team0][Player2]: хуйню не неси,30,"""Don't talk nonsense""",Don't talk nonsense
у него 1 хп было,,9,[Team1][Player4]: у него 1 хп было,30,"""he had 1 hp""",he had 1 hp
он соляру прожал,,9,[Team1][Player4]: он соляру прожал,30,"""he used solar""",he used solar
домой мусор,,2,[Team0][Player2]: домой мусор,30,"""Go home, trash""","Go home, ****"
ты дурак?,,9,[Team1][Player4]: ты дурак?,30,"""Are you an idiot?""",Are you an *****?
мусор домой звать,,9,[Team1][Player4]: мусор домой звать,30,"""trash go home""","""**** go home"""
биомусор,,2,[Team0][Player2]: биомусор,30,"""biotrash""",biotr***
лиона не трож,,0,[Team0][Player0]: лиона не трож,30,"""Don't touch Lion""",Don't touch Lion
сука,,0,[Team0][Player0]: сука,30,"""Bitch""",B****
жаль биомусор,,9,[Team1][Player4]: жаль биомусор,30,"""pity bio-trash""",pity bio-*****
хуево быть тобой,,9,[Team1][Player4]: хуево быть тобой,30,"""Must be shitty to be you""",Must be ****y to be you
найс стрелки метаешь,,2,[Team0][Player2]: найс стрелки метаешь,30,"""nice at throwing blame""",nice at throwing blame
школа,,2,[Team0][Player2]: школа,30,"""school""",school
так ты уточняй,,9,[Team1][Player4]: так ты уточняй,30,"""then be specific""",then be specific
поеботня тупорылая,x,9,[Team1][Player4]: поеботня тупорылая,30,"""stupid bullshit""",stupid bull****
как скажешь биомусор,x,2,[Team0][Player2]: как скажешь биомусор,30,"""as you say, biotrash""","as you say, biotrash"
без запятой,,9,[Team1][Player4]: без запятой,30,"""without a comma""",without a comma
уууу,,9,[Team1][Player4]: уууу,30,"""booo""",booo
ваше похуй,,2,[Team0][Player2]: ваше похуй,30,"""your don't care""",your don't care
я играю,,2,[Team0][Player2]: я играю,30,"""I play""",I play
изи морта,,2,[Team0][Player2]: изи морта,30,"""easy Morta""",easy Morta
типа обидно должно быть?,,9,[Team1][Player4]: типа обидно должно быть?,30,"""Is it supposed to be offensive?""",Is it supposed to be offensive?
"то, что вы победили из-за 4-х долбаебов",,9,"[Team1][Player4]: то, что вы победили из-за 4-х долбаебов",30,"""the fact that you won because of 4 dumbasses""",the fact that you won because of 4 d******es
хаха,,2,[Team0][Player2]: хаха,30,haha,haha
я так понял ты в эту 4ку входишь?,,2,[Team0][Player2]: я так понял ты в эту 4ку входишь?,30,"""I take it you're part of that group of 4?""",I take it you're part of that group of 4?
"тупой значит, раз так думаешь",,9,"[Team1][Player4]: тупой значит, раз так думаешь",30,"""Stupid, then, if you think so.""","""Stupid, then, if you think so."""
bpb,,2,[Team0][Player2]: bpb,30,bpb,bpb
изи,,2,[Team0][Player2]: изи,30,easy,easy
хаос мусор кери,,9,[Team1][Player4]: хаос мусор кери,30,"""Chaos is a trash carry""",Chaos is a trash carry
панголь бесполезный кусок говна как и кент,x,9,[Team1][Player4]: панголь бесполезный кусок говна как и кент,30,"""Pangolier is a useless piece of shit just like Centaur.""","""Pangolier is a useless piece of **** just like Centaur."""
а шторм просто бесполезный,,9,[Team1][Player4]: а шторм просто бесполезный,30,"""and Storm is just useless""",and Storm is just useless
да и ты тоже,,2,[Team0][Player2]: да и ты тоже,30,"""yeah, you too""","yeah, you too"
отвечаешь?,,9,[Team1][Player4]: отвечаешь?,30,"""Are you answering?""",Are you answering?
"а не, что я оффлейновый?",,9,"[Team1][Player4]: а не, что я оффлейновый?",30,"""Oh no, am I the offlaner?""","Oh no, am I the offlaner?"
не?,,9,[Team1][Player4]: не?,30,"""no?""",no?
еблет обоссаный,x,9,[Team1][Player4]: еблет обоссаный,30,"""piss-covered face""",p**s-covered face
что ты мне сделал на харде,,2,[Team0][Player2]: что ты мне сделал на харде,30,"""What did you do to me in the offlane""",What did you do to me in the offlane
ничего,,2,[Team0][Player2]: ничего,30,"""Nothing""",Nothing
крипов ты мне не мешал добивать,,2,[Team0][Player2]: крипов ты мне не мешал добивать,30,"""You didn't stop me from last-hitting creeps""",You didn't stop me from last-hitting creeps
отвечаешь?,,9,[Team1][Player4]: отвечаешь?,30,"""Are you answering?""",Are you answering?
вот и думай мусорка на морте,,2,[Team0][Player2]: вот и думай мусорка на морте,30,"""there you go, think about it, trash on Mortred""","there you go, think about it, **** on Mortred"
:(,,3,[Team0][Player3]: :(,30,:(,:(
просто давно морту не видил которая бьет спектру под вымакшенным 3 ск,,2,[Team0][Player2]: просто давно морту не видил которая бьет спектру под вымакшенным 3 ск,30,"""Just haven't seen a Mortred in a long time that hits a Spectre under maxed 3rd skill.""",Just haven't seen a Mortred in a long time that hits a Spectre under maxed 3rd skill.
и стоит дамаг в ебло ловит,,2,[Team0][Player2]: и стоит дамаг в ебло ловит,30,"""and just stands there taking damage to the face""",and just stands there taking damage to the face
